Distance,Fluence of Supernovae,Fluence of LGRB,Fluence of SGRB
10.0,8.569265523092293e+39,7.868930691544806e+24,6.093699927532297e+32
10.766905692839499,7.391996995554887e+39,6.787876028976023e+24,5.256531196839032e+32
11.592625819849957,6.376464754773363e+39,5.855339536063695e+24,4.534374936727725e+32
12.481670893470067,5.500449038780318e+39,5.050917390982845e+24,3.9114304275771154e+32
13.43889733990519,4.7447826957046666e+39,4.3570089033100707e+24,3.3740676947233185e+32
14.469534027451079,4.092931808063892e+39,3.758431412363538e+24,2.9105292857343236e+32
15.579210829289787,3.530633932008396e+39,3.2420880918350745e+24,2.5106730183170818e+32
16.77398937678269,3.045586036222201e+39,2.796681392306889e+24,2.1657500702024544e+32
18.060396171251085,2.627175312608872e+39,2.4124658517987808e+24,1.8682135556329757e+32
19.445458235118,2.266246968922589e+39,2.0810348658609635e+24,1.61155340012273e+32
20.936741497156465,1.954903922666178e+39,1.795136751759576e+24,1.3901539005626156e+32
22.54239212152429,1.6863340135750883e+39,1.548516082254443e+24,1.1991708540978405e+32
24.27118100634602,1.4546609541106652e+39,1.3357768173651655e+24,1.0344255673675842e+32
26.132551694916476,1.2548157567717418e+39,1.1522642394598182e+24,8.923134270376832e+31
28.136671961241873,1.0824258250646981e+39,9.939631084157008e+23,7.697250311571187e+31
30.294489351705266,9.33719281451549e+38,8.574098084954538e+23,6.639781556988793e+31
32.617790986254086,8.054424389793982e+38,7.39616564719374e+23,5.727590677186832e+31
35.11926794577479,6.947886108773097e+38,6.380060705944075e+23,4.9407190106830915e+31
37.81258459737183,5.993367004804284e+38,5.503550968598976e+23,4.261949870083047e+31
40.7124532362418,5.169982278339293e+38,4.7474584741407654e+23,3.6764318423746084e+31
43.83471445187535,4.4597163392324616e+38,4.0952399809297173e+23,3.171353841231973e+31
47.19642365758906,3.8470286271089024e+38,3.53262500193655e+23,2.7356648014996645e+31
50.81594425605605,3.318513585180732e+38,3.047303567659075e+23,2.3598318827951875e+31
