Distance,Rate of Supernovae,Error of Supernovae,Rate of LGRB,Error of LGRB,Rate of SGRB,Error of SGRB
10.0,5.994601153919999e-10,7.4398763072514e-12,1.8165458042181813e-17,2.254507971895081e-19,1.5985603077119992e-13,1.983967015267049e-15
10.766905692839499,7.460262814925765e-10,9.636070456516542e-12,2.260685701492656e-17,2.9200213504597857e-19,1.9894034173135374e-13,2.569618788404168e-15
11.592625819849957,9.282211158542965e-10,1.2480675028722356e-11,2.812791260164535e-17,3.7820227359760364e-19,2.47525630894479e-13,3.3281800076592256e-15
12.481670893470067,1.1546428146821419e-09,1.6165284581040713e-11,3.4989176202489154e-17,4.898571085164633e-19,3.079047505819045e-13,4.3107425549448e-15
13.43889733990519,1.4359036765286104e-09,2.0937755912040723e-11,4.351223262207911e-17,6.344774518799305e-19,3.829076470742962e-13,5.583401576544087e-15
14.469534027451079,1.785170051909287e-09,2.412925499043416e-11,5.4096062179069315e-17,7.311895451646614e-19,4.760453471758099e-13,6.434467997449474e-15
15.579210829289787,2.218457885604591e-09,2.357496745393669e-11,6.722599653347246e-17,7.143929531495687e-19,5.915887694945575e-13,6.28665798771603e-15
16.77398937678269,2.7559321646703276e-09,1.9328411744190182e-11,8.351309589910084e-17,5.85709446793635e-19,7.349152439120874e-13,5.154243131783232e-15
18.060396171251085,3.4227700666569366e-09,1.8499829956760144e-11,1.0372030505021019e-16,5.606009077805908e-19,9.127386844418497e-13,4.933287988470472e-15
19.445458235118,4.249726084255744e-09,2.396195111091403e-11,1.287795783107801e-16,7.261197306335247e-19,1.133260289134865e-12,6.3898536295754394e-15
20.936741497156465,5.273806308692454e-09,2.171574010181886e-11,1.5981231238461985e-16,6.580527303582769e-19,1.4063483489846546e-12,5.790864027152631e-15
22.54239212152429,6.5420647295101604e-09,1.852658142329937e-11,1.9824438574273213e-16,5.614115582817154e-19,1.7445505945360425e-12,4.94042171288e-15
24.27118100634602,8.112560822429259e-09,2.399660486565406e-11,2.458351764372503e-16,7.271698444138887e-19,2.163349552647802e-12,6.399094630841714e-15
26.132551694916476,1.0054004506214694e-08,1.9119723756418548e-11,3.046668032186271e-16,5.7938556837640495e-19,2.6810678683239186e-12,5.0985930017110134e-15
28.136671961241873,1.2454464195996205e-08,1.4084644374910705e-11,3.7740800593927895e-16,4.268074053002233e-19,3.321190452265654e-12,3.755905166642724e-15
30.294489351705266,1.541942542211871e-08,1.824277974309649e-11,4.672553158217791e-16,5.528115073665627e-19,4.111846779231656e-12,4.864741264825881e-15
32.617790986254086,1.90794471195544e-08,2.362890624724639e-11,5.781650642289213e-16,7.160274620378092e-19,5.0878525652145065e-12,6.301041665933096e-15
35.11926794577479,2.359240458423223e-08,1.5874682802950826e-11,7.149213510373404e-16,4.810509940287934e-19,6.291307889128596e-12,4.2332487474541724e-15
37.81258459737183,2.9154274231178438e-08,2.056136498038454e-11,8.834628554902556e-16,6.23071666072092e-19,7.774473128314248e-12,5.48303066143565e-15
40.7124532362418,3.6001570208285834e-08,1.2354556563733993e-11,1.0909566729783588e-15,3.7438050193128903e-19,9.600418722209558e-12,3.2945484169953757e-15
43.83471445187535,4.442220982776474e-08,1.6001869390447043e-11,1.3461275705383257e-15,4.849051330439117e-19,1.1845922620737266e-11,4.267165170786143e-15
47.19642365758906,5.477003670729453e-08,2.0726095138985023e-11,1.6596980820392286e-15,6.280634890601507e-19,1.460534312194521e-11,5.526958703729306e-15
50.81594425605605,6.74685771082845e-08,1.619513765613545e-11,2.044502336614682e-15,4.907617471555463e-19,1.7991620562209193e-11,4.318703374956442e-15
54.713047949754426,8.303509546318754e-08,1.888015002104862e-11,2.516215014035986e-15,5.721257582154537e-19,2.2142692123516674e-11,5.034706672301651e-15
58.909022744281145,1.020944756729468e-07,3.3027006087360766e-11,3.093771990089296e-15,1.0008183662756007e-18,2.722519351278581e-11,8.807201623288209e-15
